"","f0101","f0102","f04","f05","f06","f07","f0801","f0802","f0803","f0804","f0805","f0806","f0807","f0808","f0809","f0810","f0811","f0812","f0813","f0814","f0815","f0816","f0817","f0818","f0819","f0820","f0821","f0822","f0823","f0824","f0825","f0826","f0827","f0828","f0901","f0902","f0903","f1001","f1002","f1003","f1004","f11","f12","f14","f15","f1603","f1801","f180201","f180202","Mig","f22","f0201new","f0202new","f0203new","f03new","f1601","f1602","f20"
"11","2","1","1","4",NA,"5","2","2","3","3","2","1","4","1","3","2","4","3","1","2","2","4","4","4","4","3","1","3","2","3","3","4","4","4","1","1","0","1","1","0","0","2","1","1","0","2","1","1","2","1","2","1","3","3","0",4,1,17
"12","2","1","1","5","2","5","3","3","2","2","4","1","4","1","3","2","2","2","1","1","4","2","4","4","2","2","3","1","1","2","1","3","4","1","1","1","1","1","1","0","0","1","2","1","0","2","1","1","1","2","3","1","4","4","0",4,0,18
"13","2","1","11","4",NA,"3","3","3","3","4","1","1","1","3","2","2","3","1","2","1","4","4","4","4","4","4","3","3","4","3","3","3","2","1","1","1","1","1","1","1","0","2","2","1","0","2","1","1","1","2","4","1","4","4","0",4,0,18
"14","2","1","5","3",NA,"3","1","3","3","4","3","1","3","1","3","1","4","2","2",NA,"3","3","4","4","4","3","3","4","1","3","2","3","2","1","1","1","0","0","1","1","0","2","1","1","0","2","1","1","1","2","4","1","4","4","1",4,0,18
"15","2","1","1","3","1","4","4","3","3","4","4","2","4","4","3","2","4","3","3","2","2","2","2","4","3","2","2","3","1","3","3","2","2","2","1","0","0","1","0","0","0","2","2","1","3","2","1","1","1","2","3","1","4","5","1",4,0,17
"16","2","1","9","5","1","5","2","2","2","2","2","1","2","1","2","2","2","2","1","3","3","3","4","4","2","1","2","1","1","2","2","3","2","2","1","1","1","1","1","1","0","2","2","1","5","2","1","1","1","2","3","1","4","5","1",2,0,18
"17","2","3","11","4",NA,"4","2","4","4","4","3","2","4","2","2","3","2","3","2","3","4","3","3","2","2","3","2","3","3","3","2","2","3","3","0","1","1","0","0","1","0","2","1","1","0","2","1","2","1","1","3","1","4","4","1",4,0,17
"18","2","1","11","5","2","5","4","4","3","3","2","1","3","4","4","1","3","2","1","3","1","4","3","4","4","2","3","2","2","4","3","2","1","2","1","1","1","0","1","1","0","2","2","1","5","2","2","2","2","1","1","1","5","3","1",4,0,19
"19","2","3","1","4","3","3","3","2","3","4","4","1","4","3","4","1","4","2","1","2","3","4","1","4","3","1","3","2","1","3","2","1","2","2","1","1","0","0","1","1","0","2","2","1","3","2","1","2","2","1","1","1","4","3","0",4,0,19
"20","2","2","5","2","2","2","2","2","4","3","2","1","3","4","4","2","3","2","2","3","3","4","4","4","4","2","3","3","3","3","3","2","3","3","1","0","1","1","1","1","0","1","1","1","3","2","2","2","2","1","2","1","4","5","1",4,1,19
"21","2","1","11","4","1","4","2","4","3","4","3","1","4","3","4","3","3","1","2",NA,"3","4","4","4","3","1","1","2","2","3","2","2","2","2","1","1","1","1","1","0","0","2","2","1","0","2","1","1","1","2","2","1","4","5","1",4,0,18
"22","2","1","5","4","1","5","2","2","3","3","3","1","3","3","3","2","1","3","1","3","2","2","4","4","4","2","2","1","1","3","2","1","3","2","1","1","1","0","0","1","0","2","1","1","3","2","1","1","1","2","2","1","4","3","1",2,0,18
"23","2","1","2","4","1","3","2","3","1","2","3","2","2","1","4","2","1","3","1","3","3","4","4","4","4","2","2","1","1","2","2","1","2","2","1","1","0","1","1","1","0","1","1","1","0","2","1","1","1","2","3","1","4","5","1",4,0,17
"24","2","1","11","5","2","4","2","3","2","3","3","1","3","3","4","2","4","2","1","3","4","4","1","4","3","2","3","2","3","3","2","2","3","3","1","1","1","1","1","1","0","2","2","1","5","2","1","1","1","2","1","1","3","5","1",2,0,19
"25","2","2","1","4","2","3","4","4","2","4","3","1","4","3","4","2","4","3","2","2","3","4","4","4","3","2","3","3","3","4","4","2","2","2","1","1","0","1","1","0","0","2","1","1","0","2","2","1","2","1","3","1","3","5","1",3,0,19
"26","2","1","11","5","2","5","2","4","3","4","3","2","3","4","4","1","4","1","1","1","4","4","4","4","3","2","2","1","3","2","3","2","3","3","1","0","0","1","0","0","0","1","2","1","5","2","1","1","1","2","3","1","5","4","1",4,0,19
"27","2","1","5","4","2","5","1","4","2","2","3","1","4","1","3","2","1","4","2","4","2","4","4","4","3","2","2","3","1","1","1","3","2","1","1","1","0","1","1","1","0","2","2","1","0","2","1","1","1","2","2","1","5","5","1",3,0,16
"28","2","1","11","4","3","4","2","3","3","4","3","1","3","4","4","1","4","3","1","4","2","4","4","4","4","3","3","3","4","3","3","2","4","3","1","1","1","1","1","1","0","2","1","1","3","2","1","1","1","2","3","1","4","4","0",2,0,18
"29","2","1","12","3","1","5","4","3","4","4","3","1","2","2","2","2","4","2","2","1","4","4","4","4","4","3","2","3","3","4","3","2","3","2","1","1","1","1","1","1","0","2","2","1","5","2","1","1","1","2","3","1","4","4","0",5,0,19
"30","2","1","11","5","2","4","3","2","1","2","4","1","1","1","3","3","1","4","2","3","4","3","4","4","2","1","2","1","1","1","1","1","3","1","1","1","1","1","1","1","0","2","2","1","5","2","2","2","2","1","1","1","5","1","0",5,2,19
"31","2","1","9","3",NA,"4","2","2","3","4","3","2","3","2","4","2","4","2","1","1","4","4","4","4","4","2","2","3","4","3","2","3","2","3","1","1","1","1","1","1","0","2","2","1","0","2","1","1","1","2","2","1","1","4","1",3,0,19
"32","2","1","5","3",NA,"2","2","4","2","4","3","1","4","3","1","1","2","2","1","2","4","4","4","4","2","3","4","2","3","4","2","2","1","2","1","1","1","1","1","1","0","2","1","1","3","2","1","1","1","2","1","1","4","5","1",3,0,19
"33","2","1","9","4","2","3","2","4","2","2","1","1","3","3","3","1","2","1","1","2","4","4","4","4","3","2","2","3","2","2","2","2",NA,"3","1","1","1","1","1","1","0","2","2","1","0","2","1","1","1","2","3","1","4","5","1",4,0,18
"34","2","3","9","3",NA,"3","2","4","3","4","2","1","4","1","3","2","2","2","1","1","2","4","4","4","3","1","3","2","1","4","3","2","3","3","1","1","1","1","1","1","0","2","2","1","0","2","1","1","1","2","2","1","4","4","1",3,0,18
"35","2","1","11","5","2","2","2","4","3","4","2","1","2","3",NA,"2","4","3","1","4","3","4","4","4","4","2","3","2","1","2","2","2",NA,"1","1","1","1","0","0","1","0","2","2","1","0","2","1","2","1","1","3","1","4","5","1",4,0,18
"36","2","3","11","4","1","3","4","4","4","4","2","1","3","4","2","2","3","2","1","2","3","2","4","4","4","2","3","3","2","4","4","3","3","3","1","1","1","1","1","1","0","1","2","1","5","2","1","1","2","1","1","1","2","5","1",3,1,19
"37","2","1","1","4","3","5","1","3","2","2","2","2","1","1","1","2","1","3","3","3","3","4","4","2","2","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","0","2","2","1","3","2","1","2","2","1","1","1","4","5","1",5,2,18
"38","2","1","2","4","2","2","2","2","2","3","2","2","3","3","2","4","3","4","2","4","2","4","2","4","4","2","2","3","2","3","2","2","3","3","1","1","1","1","1","1","0","2","1","1","0","2","1","1","2","1","2","1","3","5","0",5,1,19
"39","2","1","9","4","2","4","1","3","2","1","3","2","2","2","2","3","1","3","2","3","3","4","4","4","2","1","2","2","1","1","1","1","2","1","1","1","1","1","1","1","0","2","2","1","3","2","1","1","1","2","1","0","4","5","1",3,0,18
"40","2","1","11","1","1","1","2","2","2","3","3","1","3","3","3","2","1","4","1","4","1","3","4","4","4","1","1","1","1","1","1","1",NA,"1","1","1","1","1","1","0","0","2","2","1","0","2","2","2","2","1","4","0","4","5","1",4,0,18
"41",NA,NA,"6","6",NA,"6","2","4","3","4","2","2","2","1","3","2","1","3","1","4","1","4","4","4","4","2","1","1","1","3","2","2","1","1","1","1","1","1","1","1","0","2","1","1","0","2","1","1","1","2","3","0","5","1","0",3,0,18
"42","2","1","9","5","1","5","2","3","1","3","2","2","2","2","3","2","2","3","2","2","3","4","4","4","3","1","1","1","1","2","2","3","2","2","1","1","1","1","1","1","0","2","2","1","0","2","1","1","1","2","3","0","4","5","1",3,1,18
"43",NA,NA,"1","1",NA,"1","2","4","3","4","1","1","3","3","2","2","3","2","2","4","1","3","4","4","4","1","1","1","1","2","2","1",NA,"2","1","1","0","1","0","0","0","2","2","1","0","2","1","2","2","1","2","0","2","5","1",3,0,18
"44","2","1","9","4","2","4","1","1","1","4","3","1","1","1","1","3","4","4","1","2","4","2","4","4","1","1","1","1","1","1","1","1","4","1","1","1","1","1","1","0","0","2","2","1","3","2","1","2","2","1","2","0","4","5","1",3,0,17
"45","2","1","1","5","1","5","2","3","2","3","2","1","2","1","2","2","3","2","1","3","2","4","3","4","3","3","2","3","2","2","2","2","3","2","1","1","1","1","1","1","0","2","2","1","0","2","1","1","1","2","3","0","4","4","0",2,0,18
"46","2","1","11","5","2","5","1","3","1","2","2","2","4","4","2","2","4","3","2","2","4","4","4","4","2","1","2","2","1","2","1","1","3","2","1","1","1","1","1","0","0","2","2","1","0","2","1","1","1","2","2","0","4","5","1",3,1,19
"47","2","1","9","4","1","4","3","2","2","2","2","2","1","1","3","2","3","4","1","2","3","2","4","4","2","1","1","2","1","3","3","2","2","3","1","1","1","1","1","0","0","2","1","1","0","2","1","1","1","2","3","0","3","5","1",3,0,19
"48",NA,NA,"6","6","2","6","3","2","2","1","2","1","1","1","3","2","1","4","4","4","2","3","3","4","1","1","1","1","1",NA,"2","1","2","2","1","1","1","0","1","0","0","2","2","1","3","2","1","1","2","1","3","0","3","5","1",3,0,18
"49","2","1","11","5","7","2","1","2","1","3","4","2","2","4","2","3","4","2","1","1","2","3","4","4","2","1","1","2","3","2","3","3","4","4","1","0","0","1","0","0","0","1","2","1","3","2","1","2","1","1","1","0","5","4","0",5,1,19
"50","2","1","1","4","2","4","3",NA,"2","3","1","2","4","4","2","3","2","1","1","4","1","4","4","4","4","1","2","1","2","3","3","1",NA,"1","1","1","1","1","1","1","0","2","2","1","3","2","1","1","1","2","3","0","5","5","1",3,0,17
"51","2","3","6","5","2","5","2","2","1","4","2","2","3","3","2","2","1",NA,"2","3","3","2","4","3","3","1","3","1","1",NA,"2",NA,"1",NA,"1","1","1","1","1","0","0","2","1","1","5","2","1","1","1","2","3","0","5","5","1",5,2,19
"52","2","1","9","5","2","5","1","2","2","4","3","2","4","2","4","2","2","4","2","4","4","4","4","3","2","3","3","2","3","2","2","2","2","2","1","1","1","1","1","1","0","2","1","1","5","2","1","1","1","2","3","0","3","5","1",7,0,19
"53","2","1","3","4",NA,"5","1","4","3","4","2","1","2","3","3","3","4","2","2","2","4","4","1","4","2","2","2","2","2","2","2","3","3","2","1","0","0","0","1","1","0","2","2","1","0","2","1","2","2","1","2","0","3","5","1",4,1,18
"54","2","3","11","5","1","5","1","3","3","4","2","1","4","4","1","3","4","1","1","1","3","4","1","4","4","1","1","1","1","3","1","2","2","3","1","1","1","1","1","1","0","2","2","2","3",NA,"2","1","2","1","2","1","3","5","1",1,NA,18
"55","2","3","9","3","2","5","1","2","1","1","3","1","2","1","3","2","3","3","3","4","1","4","4","4","2","1","2","2","1","1","1","2","1","2","1","0","0","1","0","0","0","2","1","2","2",NA,"1","1","1","2","1","1","1","5","1",1,NA,18
"56","2","1","1","5","1","3","2","3","2","3","2","2","3","3","3","2","3","3","2","3","3","3","4","4","3","2","2","2","2","3","2","2","2","2","1","1","1","1","1","0","0","2","2","2","3",NA,"1","1","1","2","2","0","3","1","0",1,NA,19
"57","2","1","11","5","3","4","2","3","3","4","2","1","2","3","2","3","1","3","1","2","4","4","4","4","4","2","1","2","1","3","2","3","2","2","1","1","1","1","1","0","0","2","2","2","5","1","1","1","1","2","4","1","4","5","1",4,0,18
"58","2","1","11","4",NA,"4","4","4","3","4","2","1","4","4","2","2","3","1","2","2","4","4","4","4","4","2","1","2","2","4","3","2","2","3","1","1","1","1","1","1","0","2","2","2","3","1","1","1","1","2","5","1","4","2","0",4,0,18
"59","2","1","1","3","1","3","2","3","3","3","2","2","2","2","3","2","2","2","2","3","3","4","4","3","3","1","2","1","1","3","3","3","3","3","1","1","1","1","1","0","0","1","2","2","5","2","1","1","1","2","1","1","4","4","0",4,1,19
"60","1","1","11","5","2","5","3","4","4","2","1","1","3","2",NA,"3","2","3","2","3","2","4","4","4","1","1","3","3","3","3","2","1","1","3","0","1","0","1","0","0","0","2","2","2","0","2","1","1","2","1","1","1","1","5","1",3,0,16
"61","1","2","8","3","2","3","1","2","2","2","2","2","1","1","2","1","1","2","2","1","1","2","2","1","2","3","2","2","1","2","2","3","1","3","1","0","0","0","0","1","0","1","2","2","0","2","1","2","2","1","3","1","4","5","1",4,1,16
"62","2","3","1","4","1","4","2","4","3","3","3","2","3","1","3","2","3","2","1","2","3","4","4","4","3","4","4","3","4","2","1","2","1","1","1","1","1","1","1","1","0","2","2","2","0","2","1","1","1","2","3","1","5","2","0",2,0,17
"63","2","3","2","4",NA,"3","2","3","2","3","3","1","3","4","3","1","2","2","2","4","2","4","4","4","3","3","2","2","3","3","2","3","2","2","0","1","0","1","1","0","0","2","1","2","0","2","1","1","1","2","1","1","4","2","0",6,0,16
"64","2","3","5","6","2","3","2","3","3","4","3","2","2","4","3","2","4","1","1","3","2","4","4","4","4","2","2","4","1","2","2","1","1","3","1","1","0","1","1","1","0","2","1","2","0","2","1","1","1","2","3","1","5","2","0",2,0,17
"65","2","1","1","3","2","5","1","1","3","4","2","1","2","2","4","2","4","4","2","3","3","4","4","4","4","3","2","4","4","4","4","3","1","3","1","1","1","0","1","1","0","2","1","2","0","2","1","1","1","2","3","1","4","1","0",4,1,17
"66","2","3","11","4",NA,"4","3","3","2","2","4","3","4","1","2","3","1","3","2","2","3","4","1","4","3","4","3","4","4","2","2","2","2","2","1","1","1","1","1","1","0","2","2","2","0","2","1","1","1","2","3","1","4","4","0",7,1,18
"67","2","1","11","4","2","5","2","3","3","4","2","1","2","3","1","2","3","3","2","2","4","3","4","4","2","1","1","2","2","4","2","2","1","1","1","1","0","0","1","0","0","2","2","2","3","2","1","1","2","1","1","1","4","1","0",3,0,18
"68","2","1","1","3","1","2","2","3","4","2","3","4","3","4","3","2","2","3","1","4","4","3","4","3","4","2","3","4","3","3","3","4","3","4","1","0","0","0","0","1","0","2","2","2","0","2","2","2","2","1","1","1","2","3","1",2,1,17
"69","2","1","1","2","1","4","2","4","3","2","4","3","4","2","3","3","4","2","3","2","2","4","3","3","2","3","2","2","3","4","3","3","3","2","0","1","0","0","1","0","0","2","1","2","0","2","2","2","2","1","1","1","4","4","1",4,0,19
"70","2","1",NA,"3","2","3","2","3","3","4","2","1","4","2","3","3","4","2","2",NA,"3","4","1","4","4","2","2","3","2","3","3","1","2","4","1","1","0","1","1","0","0","2","2","2","3","2","1","1","1","2","2","1","3","3","0",6,2,18
"71","2","1","1","4","1","4","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","0","1","0","1","0","0","0","2","2","2","3","2","1","1","1","2","1","1","4","4","0",2,0,19
"72","2","1","9","4","2","3","4","4","3","4","2","2","4","2","4","2","3","2","2","4","1","4","4","4","4","3","2","2","2","3","3","2","2","2","1","0","1","0","1","1","0","2","2","2","5","2","1","1","1","2","1","1","4","5","1",3,0,19
"73","2","1",NA,"3","1","3","2","3","1","2","2","1","3","4","1","3","1","3","2","3","2","4","4","4","2","2","2","3","3","3","1","2","2","3","1","1","1","1","1","1","0","2","2","2","0","2","1","1","1","2","4","1","4","1","0",2,0,17
"74","2","1","5","4","1","4","2","4","2","4","2","1","4","3","4","1","4","1","1","4","2","4","1","4","4","3","3","3","4","3","1","1","2","1","1","1","0","1","1","0","0","2","1","2","5","2","2","2","2","1","2","1","3","5","1",4,1,19
"75","2","1","1","4","1","4","4","4","4","4","2","2","3","3","1","4","1","2","2","3","4","4","4","4","4","2","3","4","2","3","4","3","2","4","1","1","1","1","1","1","0","2","1","2","0","2","1","1","1","2","5","1","3","1","0",6,1,17
"76","1","1","2","4","2","3","1","2","2","2","3","1","3","4","1","3","1","3","1","4","1","4","4","4","4","3","4","2","3","1","1","1","2","1","1","1","1","0","1","1","0","2","2","2","5","2","1","1","1","2","3","1","4","5","1",3,0,19
"77","2","3","4","2","1","3","1","1","1","1","1","1","1","1","1","1","1","1","1",NA,NA,"3","1","4","1","3","3","3","3","3","2",NA,"2",NA,"1","0","0","0","1","0","0","1","1","2","0","2","2","1","2","1","1","1","4","3","1",4,2,19
"78","2","3","1","4",NA,"3","2","2","3","4","3","1","4","1","4","2","3","3","1","3","3","4","4","4","4","3","2","3","3","3","1","3","2","2","1","0","1","1","1","1","0","2","1","2","0","2","1","1","2","1","1","1","3","3","0",4,0,17
"79","2","3","11","5","2","5","2","3","3","3","4","2","4","1","2","2","2","4","1","2","2",NA,"4","4","3","1","1","2","1","3","3","3","3","2","1","1","1","1","1","1","0","2","1","2","3","2","1","2","2","1","3","1","5","2","0",4,0,19
"80","2","3",NA,"5","1","4","2","4","3","4","2","1","3","4","3","2","1","2","1","1","2","4","4","4","4","2","3","2","1","3","2","3","1","2","1","1","1","0","1","1","0","2","1","2","3","2","1","1","1","2","1","1","4","5","1",3,0,18
"81","2","1","1","4","1","3","2","2","3","4","2","1","3","3","4","2","4","2","1","2","3","4","1","4","4","4","2","3","4","1","1","1","1","2","1","1","1","1","1","1","0","2","2","2","0","2","1","2","1","1","2","1","5","3","0",2,0,17
"82","2","3","1","4",NA,"4","4","4","4","4","2","1","4","3","3","3","1","2","2","4","4","4","4","4","3","3","3","3","3","3","2","3","2","2","1","1","1","1","1","1","0","2","2","2","0","2","1","1","2","1","3","1","4","5","0",4,0,16
"83","1","3","7","3","2","3","1","4","2","3","2","2","3","2","2","2","2","2","2","2","2","3","3","3","2","2","1","2","4","2","2","2","3","2","1","1","1","1","1","0","0","2","2","2","5","2","1","1","1","2","3","1","5","5","1",5,1,19
"84","2","1","2","4","6","5","3",NA,"4","1","2","2","1","2","2","2","3","3","2","3","3","4","4","4","1","1","1","3","1","4","3","2","3","1","1","1","1","0","0","0","1","2","2","2","0","2","1","1","1","2","3","1","4","5","1",4,1,17
"85","2","3","5","3",NA,"4","3",NA,"3","4","3","1","4","2","4","3","2","2","2","2","3","4","4","4","4","4","4","2","3","3","2",NA,"2","3","1","1","1","0","1","1","0","2","2","2","0","2","1","1","1","2","4","1","5","5","1",4,0,19
"86","2","3","1","3","1","4","2","4","4","4","2","2","4","4","2","3","1","3","1","2","4","4","4","4","3","3","3","3","1","3","2","2","2","1","1","1","1","1","1","1","0","2","1","2","3","2","1","1","1","2","1","1","5","5","1",3,1,17
"87","2","1","2","4",NA,"3","2","2","1","3","2","1","3","4","4","3","3","1","1","2","4","4","4","4","4","3","3","2","3","3","3","2","2","3","1","1","1","1","1","1","0","2","2","2","0","2","1","1","1","2","5","1","4","4","0",4,0,17
"88","2","1","5","3","1","4","3","4","4","4","2","1","3","2","3","2","3","2","1","3","2","3","4","3","3","2","3","2","3","3","2","3","3","1","1","1","1","1","1","1","0","2","2","2","3","2","1","1","1","2","3","1","5","2","0",2,0,17
"89","2","1","2","4","2","3","1","1","1","2","2","1","4","4","2","1","3","3","1","2","3","4","4","4","4","1","1","1","1","1","1","1","2","1","1","1","1","1","1","1","0","2","2","2","3","2","1","1","1","2","2","1","4","5","1",4,0,19
"90","2","1","11","5","1","4","2","2","3","4","3","1","4","4","2","2","4","1","1",NA,"4","4","4","4","2","1","2","2","1","3","2","2","4","2","1","1","0","0","1","1","0","2","2","2","5","2","1","1","1","2","4","1","4","3","1",4,0,19
"91","2","88","9","4","2","3","2","2","2","4","3","1","4","2","4","2","4","3","2","2","3","4","4","4","3","2","2","2","2","3","3","2","3","4","1","1","1","1","1","1","0","2","2","2","5","2","1","1","1","2","3","1","4","4","1",4,0,19
"92","2","1","1","4","1","3","2","3","3","4","2","1","4","2","3","3","1","1","2","3","2","3","4","3","3","1","2","2","3","3","2","2","2","2","1","1","1","1","1","1","0","2","2","2","5","2","1","1","1","2","1","1","4","3","0",3,0,19
"93","2","1","11","5","2","5","4","1","3","3","2","1","1",NA,"1","4","1","4","4","4","2","1","4","2","3","1","1","3","1","3","2","3","2","3","1","1","0","1","1","1","0","2","1","2","5","2","1","1","1","2","4","1","5","1","0",3,0,19
"94","2","1","11","3","2","3","2","2","3","4","3","1","4","4","4","1","4","2","1","2","3","3","4","4","4","1","2","3","3","3","2","3","1","3","1","1","0","1","1","0","0","2","2","2","3","2","1","1","1","2","3","1","5","4","1",4,0,18
"95","1","3","1","3","3","4","1","2","2","4","2","1","3","4","2","2","2","3","1","3","4","4","4","4","4","3","3","1","2","4","2","2","1","1","1","1","1","1","1","1","0","2","1","2","5","2","1","2","1","1","5","1","5","1","0",2,0,19
"96","2","1","11","4","2","4","2","4","2","4","2","1","3","1","4","3","3","3","2","3","3","4","4","4","4","2","2","2","2","3","2","2","3","3","1","1","1","1","1","1","0","2","1","2","0","2","1","2","2","1","2","1","5","5","1",4,0,18
"97","2","1","2","4","2","4","3","4","4","4","1","1","3","3","3","1","3","3","1","2","3","4","4","4","3","2","3","2","2","3","2","4","2","3","1","1","1","1","1","0","0","2","2","2","3","2","1","2","2","1","4","1","4","5","1",4,0,17
"98","2","1","5","4","2","5","3","3","2","1","1","1","1","1","1","3","1","3","1","3","3","2","2","1","1","1","1","1","1","2","1","1","2","1","0","1","0","1","0","0","0","2","2","2","0","2","1","1","1","2","1","0","3","4","0",3,0,18
"99","2","1","6","5",NA,"4","4","3","3","4","3","1","3","2","4","1","4","3","1","4","1","4","4","4","3","1","1","3","1","4","4","2","3","3","1","1","1","1","1","1","0","2","2","2","0","2","1","2","2","1","1","0","4","2","0",4,0,18
"100","2","3","1","4","2","4","2","3","3","2","1","1","1","4","1","2","1","3","1","4","2","4","4","4","2","1","1","2","1","4","4","2","2","2","1","0","1","1","1","1","0","2","1","2","3","2","1","1","1","2","3","0","5","2","0",5,1,18
"101","2","1",NA,"4","1","4","2","3","2","4","2","2","1","2","2","2","3","2","2","3","2","3","4","3","3","2","2","2","2","2","3","3","3","2","0","1","0","1","1","0","0","2","2","2","0","2","1","1","2","1","2","0","4","3","0",4,1,17
"102",NA,NA,"1","1","1","1","2","3","2",NA,"1","1","1",NA,NA,"3","1","4","1","4","1","4","4","4","1","2","3","1","1",NA,NA,"1",NA,NA,"1","1","0","0","0","1","0","2","2","2","2","2","1","1","1","2","1","0","1","4","0",6,3,17
"103","2","1","6","5","1","4","4","4","3","4","2","1","2","1","4","2","3","2","1","2","3","4","4","4","2","3","3","2","2","4","4","2","3","3","1","0","0","1","1","1","0","2","2","2","3","2","1","1","1","2","2","0","4","5","0",4,1,18
"104","2","3","5","4",NA,"4","4","3","2","3","2","4","2","3","4","3","2","2","4","1","3","2","4","4","4","3","4","2","4","2","3","4","3","2","0","0","1","0","0","1","0","2","2","2","0","2","1","1","1","2","3","0","5","3","0",3,0,19
"105",NA,NA,"9","1","2","1",NA,NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,"4",NA,NA,"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","1","0","0","0","1","2","2","2","0","2","1","2","2","1","1","0","4","5","1",3,0,19
"106","2","1","11","2","1","1","2","3","2","3","3","2","2","2","1","4","2","3","3","2","2","3","4","3","2","4","3","3","2","2","2","3","2","3","0","0","1","0","1","0","0","2","1","2","0","2","1","2","1","1","1","0","4","5","1",3,0,17
"107","2","3","1","1",NA,"1","1","2","2","3","3","2",NA,"3","3","3","3","3","3",NA,NA,NA,"1","4","4","2","2","2","2","3","2","2","4","3","1","1","1","1","1","1","0","2","2","2","0","2","1","2","2","1","2","0","4","5","1",4,0,19
"108","2","1","11","6","2","5","4","2","2","2","3","1","3","2","3","4","1","4","4","4","1","4","4","4","2","1","1","1","1","3","4",NA,"4","2","1","1","1","1","1","1","0","2","2","2","3","2","1","2","2","1","2","0","5","5","1",3,0,19
"109","2","1","5","4","2","5","2","3","3","2","2","2","2","1","2","3","1","3","2","3","2","3","4","3","2","2","1","2","2","2","2","3",NA,NA,"1","1","1","1","1","0","0","2","2","2","0","2","1","1","1","2","3","0","4","3","0",4,0,16
"110",NA,NA,"6","6","1","2","2","2","2","2","3","1","1","2","2","4","4","4","2","4","1","4","4","4","4","1","1","2","2","2","2","1","1","3","1","1","1","1","1","1","0","1","2","2","0","2","1","1","1","2","2","0","3","1","0",4,0,19
"111","2","1","11","1","1","1","1","2","2","2","2","1","1","2","3","2","1","3","2","4","2","4","4","4","2","1","1","1","1","3","1","2","2","3","1","1","1","1","1","1","0","2","2","2","3","2","1","2","1","1","3","0","4","4","1",2,0,19
"112","2","1","11","5","2","5",NA,NA,"2","4","1","1","2","4",NA,"1","4","4","2","4","1","4","4","4","1","4","1","4","1","1","1","1","1","2","1","1","1","1","1","1","0","2","2","2","3","2","1","1","1","2","3","0","5","5","1",3,0,18
